Line No.    	Lexeme              	Token Type  	Attribute
1           	program             	30          	0
1           	errors              	1           	0
1           	(                   	2           	81
1           	)                   	2           	82
1           	;                   	4           	86
2           	abcdefghijk         	99          	100
3           	12345678901         	99          	105
3           	0123                	99          	102
4           	123456.1            	99          	106
4           	1.123456            	99          	107
4           	1.10                	99          	103
4           	01.1                	99          	102
5           	123456.1E2          	99          	108
5           	1.123456E1          	99          	109
5           	1.1E123             	99          	110
6           	1.10E1              	99          	103
6           	01.1E1              	99          	102
6           	1.1E01              	99          	104
7           	#                   	99          	101
7           	!                   	99          	101
7           	@                   	99          	101
7           	$                   	99          	101
7           	%                   	99          	101
7           	^                   	99          	101
-1          	EOF                 	20          	0
