Line No.    	Lexeme              	Token Type  	Attribute
1           	program             	30          	0
1           	example             	1           	0x7fe7b4500590
1           	(                   	2           	81
1           	input               	1           	0x7fe7b4500610
1           	,                   	4           	85
1           	output              	1           	0x7fe7b4500690
1           	)                   	2           	82
1           	;                   	4           	86
2           	var                 	31          	0
2           	x                   	1           	0x7fe7b4500770
2           	,                   	4           	85
2           	y                   	1           	0x7fe7b45007f0
2           	:                   	6           	0
2           	integer             	34          	0
2           	;                   	4           	86
3           	function            	36          	0
3           	gcd                 	1           	0x7fe7b4500900
3           	(                   	2           	81
3           	a                   	1           	0x7fe7b4500980
3           	,                   	4           	85
3           	b                   	1           	0x7fe7b4500a00
3           	:                   	6           	0
3           	integer             	34          	0
3           	)                   	2           	82
3           	:                   	6           	0
3           	integer             	34          	0
3           	;                   	4           	86
4           	begin               	38          	70
5           	if                  	39          	72
5           	b                   	1           	0x7fe7b4500a00
5           	=                   	7           	91
5           	0                   	10          	0
5           	then                	39          	73
5           	gcd                 	1           	0x7fe7b4500900
5           	:=                  	3           	0
5           	a                   	1           	0x7fe7b4500980
6           	else                	39          	74
6           	gcd                 	1           	0x7fe7b4500900
6           	:=                  	3           	0
6           	gcd                 	1           	0x7fe7b4500900
6           	(                   	2           	81
6           	b                   	1           	0x7fe7b4500a00
6           	,                   	4           	85
6           	a                   	1           	0x7fe7b4500980
6           	mod                 	41          	79
6           	b                   	1           	0x7fe7b4500a00
6           	)                   	2           	82
7           	end                 	38          	71
7           	;                   	4           	86
9           	begin               	38          	70
10          	read                	1           	0x7fe7b4500fc0
10          	(                   	2           	81
10          	x                   	1           	0x7fe7b4500770
10          	,                   	4           	85
10          	y                   	1           	0x7fe7b45007f0
10          	)                   	2           	82
10          	;                   	4           	86
11          	write               	1           	0x7fe7b4501130
11          	(                   	2           	81
11          	gcd                 	1           	0x7fe7b4500900
11          	(                   	2           	81
11          	x                   	1           	0x7fe7b4500770
11          	,                   	4           	85
11          	y                   	1           	0x7fe7b45007f0
11          	)                   	2           	82
11          	)                   	2           	82
12          	end                 	38          	71
12          	.                   	4           	87
-1          	EOF                 	20          	0
