Line No.    	Lexeme              	Token Type  	Attribute
1           	program             	30          	0
1           	fib                 	1           	0x7f826a402a20
1           	(                   	2           	81
1           	input               	1           	0x7f826a402aa0
1           	,                   	4           	85
1           	output              	1           	0x7f826a402b20
1           	)                   	2           	82
1           	;                   	4           	86
2           	var                 	31          	0
2           	n                   	1           	0x7f826a402c00
2           	:                   	6           	0
2           	integer             	34          	0
2           	;                   	4           	86
2           	var                 	31          	0
2           	p                   	1           	0x7f826a402d10
2           	:                   	6           	0
2           	integer             	34          	0
2           	;                   	4           	86
3           	var                 	31          	0
3           	q                   	1           	0x7f826a402e20
3           	:                   	6           	0
3           	real                	35          	0
3           	;                   	4           	86
4           	var                 	31          	0
4           	numsArray           	1           	0x7f826a402f30
4           	:                   	6           	0
4           	array               	32          	0
4           	[                   	2           	83
4           	13                  	10          	0
4           	..                  	5           	0
4           	12                  	10          	0
4           	]                   	2           	84
4           	of                  	33          	0
4           	integer             	34          	0
4           	;                   	4           	86
4           	?                   	99          	101
6           	procedure           	37          	0
6           	fib                 	1           	0x7f826a402a20
6           	(                   	2           	81
6           	a                   	1           	0x7f826a403220
6           	:                   	6           	0
6           	integer             	34          	0
6           	;                   	4           	86
6           	b                   	1           	0x7f826a403300
6           	:                   	6           	0
6           	real                	35          	0
6           	;                   	4           	86
6           	c                   	1           	0x7f826a4033e0
6           	:                   	6           	0
6           	real                	35          	0
6           	)                   	2           	82
6           	;                   	4           	86
7           	begin               	38          	70
8           	if                  	39          	72
8           	a                   	1           	0x7f826a403220
8           	<=                  	7           	88
8           	1                   	10          	0
8           	then                	39          	73
8           	fib                 	1           	0x7f826a402a20
8           	:=                  	3           	0
8           	c                   	1           	0x7f826a4033e0
9           	else                	39          	74
9           	call                	43          	0
9           	fib                 	1           	0x7f826a402a20
9           	(                   	2           	81
9           	a                   	1           	0x7f826a403220
9           	-                   	9           	97
9           	1                   	10          	0
9           	,                   	4           	85
9           	c                   	1           	0x7f826a4033e0
9           	,                   	4           	85
9           	b                   	1           	0x7f826a403300
9           	+                   	9           	96
9           	c                   	1           	0x7f826a4033e0
9           	)                   	2           	82
10          	end                 	38          	71
10          	;                   	4           	86
12          	procedure           	37          	0
12          	fib2                	1           	0x7f826a4039d0
12          	(                   	2           	81
12          	a                   	1           	0x7f826a403220
12          	:                   	6           	0
12          	integer             	34          	0
12          	)                   	2           	82
13          	var                 	31          	0
13          	b                   	1           	0x7f826a403300
13          	:                   	6           	0
13          	integer             	34          	0
13          	;                   	4           	86
13          	var                 	31          	0
13          	c                   	1           	0x7f826a4033e0
13          	:                   	6           	0
13          	integer             	34          	0
13          	;                   	4           	86
13          	var                 	31          	0
13          	sum                 	1           	0x7f826a403d20
13          	:                   	6           	0
13          	integer             	34          	0
13          	;                   	4           	86
14          	procedure           	37          	0
14          	rawr3               	1           	0x7f826a403e30
14          	(                   	2           	81
14          	b                   	1           	0x7f826a403300
14          	:                   	6           	0
14          	real                	35          	0
14          	)                   	2           	82
14          	;                   	4           	86
15          	var                 	31          	0
15          	q                   	1           	0x7f826a402e20
15          	:                   	6           	0
15          	integer             	34          	0
15          	;                   	4           	86
17          	q                   	1           	0x7f826a402e20
17          	:=                  	3           	0
17          	b                   	1           	0x7f826a403300
17          	+                   	9           	96
17          	2.0                 	11          	0
17          	.                   	4           	87
17          	1                   	10          	0
17          	;                   	4           	86
18          	call                	43          	0
18          	fib2                	1           	0x7f826a4039d0
18          	(                   	2           	81
18          	q                   	1           	0x7f826a402e20
18          	)                   	2           	82
19          	end                 	38          	71
19          	;                   	4           	86
20          	begin               	38          	70
21          	a                   	1           	0x7f826a403220
21          	:=                  	3           	0
21          	aasdlfjlwkjerjkwle  	99          	100
21          	-                   	9           	97
21          	1                   	10          	0
21          	;                   	4           	86
22          	b                   	1           	0x7f826a403300
22          	:=                  	3           	0
22          	0                   	10          	0
22          	;                   	4           	86
23          	sum                 	1           	0x7f826a403d20
23          	:=                  	3           	0
23          	1                   	10          	0
23          	;                   	4           	86
24          	claksdjfasdflkaj    	99          	100
24          	:=                  	3           	0
24          	b                   	1           	0x7f826a403300
24          	;                   	4           	86
25          	while               	40          	75
25          	(                   	2           	81
25          	a                   	1           	0x7f826a403220
25          	_                   	99          	101
25          	>                   	7           	93
25          	0                   	10          	0
25          	)                   	2           	82
25          	do                  	40          	76
26          	begin               	38          	70
27          	a                   	1           	0x7f826a403220
27          	:=                  	3           	0
27          	a                   	1           	0x7f826a403220
27          	-                   	9           	97
27          	1                   	10          	0
27          	;                   	4           	86
28          	b                   	1           	0x7f826a403300
28          	:=                  	3           	0
28          	sum                 	1           	0x7f826a403d20
28          	;                   	4           	86
29          	sum                 	1           	0x7f826a403d20
29          	:=                  	3           	0
29          	c                   	1           	0x7f826a4033e0
29          	+                   	9           	96
29          	sum                 	1           	0x7f826a403d20
29          	;                   	4           	86
30          	c                   	1           	0x7f826a4033e0
30          	:=                  	3           	0
30          	b                   	1           	0x7f826a403300
31          	end                 	38          	71
31          	;                   	4           	86
32          	fib2                	1           	0x7f826a4039d0
32          	:=                  	3           	0
32          	sum                 	1           	0x7f826a403d20
33          	end                 	38          	71
33          	;                   	4           	86
35          	procedure           	37          	0
35          	init                	1           	0x7f826a600120
35          	;                   	4           	86
