Line No.    	Lexeme              	Token Type  	Attribute
1           	program             	30          	0
1           	test                	1           	0x7faf34402b00
1           	(                   	2           	81
1           	input               	1           	0x7faf34402b80
1           	,                   	4           	85
1           	output              	1           	0x7faf34402c00
1           	)                   	2           	82
1           	;                   	4           	86
2           	var                 	31          	0
2           	a                   	1           	0x7faf34402ce0
2           	:                   	6           	0
2           	integer             	34          	0
2           	;                   	4           	86
3           	var                 	31          	0
3           	b                   	1           	0x7faf34402df0
3           	:                   	6           	0
3           	real                	35          	0
3           	;                   	4           	86
4           	var                 	31          	0
4           	c                   	1           	0x7faf34402f00
4           	:                   	6           	0
4           	array               	32          	0
4           	[                   	2           	83
4           	1                   	10          	0
4           	..                  	5           	0
4           	2                   	10          	0
4           	]                   	2           	84
4           	of                  	33          	0
4           	integer             	34          	0
4           	;                   	4           	86
6           	procedure           	37          	0
6           	fun1                	1           	0x7faf34403160
6           	(                   	2           	81
6           	x                   	1           	0x7faf344031e0
6           	:                   	6           	0
6           	integer             	34          	0
6           	;                   	4           	86
6           	y                   	1           	0x7faf344032c0
6           	:                   	6           	0
6           	real                	35          	0
6           	;                   	4           	86
7           	z                   	1           	0x7faf344033a0
7           	:                   	6           	0
7           	array               	32          	0
7           	[                   	2           	83
7           	1                   	10          	0
7           	..                  	5           	0
7           	2                   	10          	0
7           	]                   	2           	84
7           	of                  	33          	0
7           	integer             	34          	0
7           	;                   	4           	86
8           	q                   	1           	0x7faf344035d0
8           	:                   	6           	0
8           	real                	35          	0
8           	)                   	2           	82
8           	:                   	6           	0
8           	integer             	34          	0
8           	;                   	4           	86
9           	var                 	31          	0
9           	d                   	1           	0x7faf34403770
9           	:                   	6           	0
9           	integer             	34          	0
9           	;                   	4           	86
10          	begin               	38          	70
11          	a                   	1           	0x7faf34402ce0
11          	:=                  	3           	0
11          	2                   	10          	0
11          	;                   	4           	86
12          	z                   	1           	0x7faf344033a0
12          	[                   	2           	83
12          	a                   	1           	0x7faf34402ce0
12          	]                   	2           	84
12          	:=                  	3           	0
12          	4                   	10          	0
12          	;                   	4           	86
