Line No.    	Lexeme              	Token Type  	Attribute
1           	program             	30          	0
1           	fib                 	1           	0x7ffbd1c02b00
1           	(                   	2           	81
1           	input               	1           	0x7ffbd1c02b80
1           	,                   	4           	85
1           	output              	1           	0x7ffbd1c02c00
1           	)                   	2           	82
1           	;                   	4           	86
2           	var                 	31          	0
2           	n                   	1           	0x7ffbd1c02ce0
2           	:                   	6           	0
2           	integer             	34          	0
2           	;                   	4           	86
2           	var                 	31          	0
2           	p                   	1           	0x7ffbd1c02df0
2           	:                   	6           	0
2           	integer             	34          	0
2           	;                   	4           	86
3           	var                 	31          	0
3           	q                   	1           	0x7ffbd1c02f00
3           	:                   	6           	0
3           	real                	35          	0
3           	;                   	4           	86
4           	var                 	31          	0
4           	numsArray           	1           	0x7ffbd1c03010
4           	:                   	6           	0
4           	array               	32          	0
4           	[                   	2           	83
4           	13                  	10          	0
4           	..                  	5           	0
4           	12                  	10          	0
4           	]                   	2           	84
4           	of                  	33          	0
4           	integer             	34          	0
4           	;                   	4           	86
6           	procedure           	37          	0
6           	fib                 	1           	0x7ffbd1c02b00
6           	(                   	2           	81
6           	a                   	1           	0x7ffbd1c032d0
6           	:                   	6           	0
6           	integer             	34          	0
6           	;                   	4           	86
6           	b                   	1           	0x7ffbd1c033b0
6           	:                   	6           	0
6           	real                	35          	0
6           	;                   	4           	86
6           	c                   	1           	0x7ffbd1c03490
6           	:                   	6           	0
6           	real                	35          	0
6           	)                   	2           	82
6           	;                   	4           	86
7           	begin               	38          	70
8           	if                  	39          	72
8           	a                   	1           	0x7ffbd1c032d0
8           	<=                  	7           	88
8           	1                   	10          	0
8           	then                	39          	73
8           	fib                 	1           	0x7ffbd1c02b00
8           	:=                  	3           	0
8           	c                   	1           	0x7ffbd1c03490
9           	else                	39          	74
9           	call                	43          	0
9           	fib                 	1           	0x7ffbd1c02b00
9           	(                   	2           	81
9           	a                   	1           	0x7ffbd1c032d0
9           	-                   	9           	97
9           	1                   	10          	0
9           	,                   	4           	85
9           	c                   	1           	0x7ffbd1c03490
9           	,                   	4           	85
9           	b                   	1           	0x7ffbd1c033b0
9           	+                   	9           	96
9           	c                   	1           	0x7ffbd1c03490
9           	)                   	2           	82
10          	end                 	38          	71
10          	;                   	4           	86
12          	procedure           	37          	0
12          	fib2                	1           	0x7ffbd1c03a80
12          	(                   	2           	81
12          	a                   	1           	0x7ffbd1c032d0
12          	:                   	6           	0
12          	integer             	34          	0
12          	)                   	2           	82
13          	var                 	31          	0
13          	b                   	1           	0x7ffbd1c033b0
13          	:                   	6           	0
13          	integer             	34          	0
13          	;                   	4           	86
13          	var                 	31          	0
13          	c                   	1           	0x7ffbd1c03490
13          	:                   	6           	0
13          	integer             	34          	0
13          	;                   	4           	86
13          	var                 	31          	0
13          	sum                 	1           	0x7ffbd1c03dd0
13          	:                   	6           	0
13          	integer             	34          	0
13          	;                   	4           	86
14          	procedure           	37          	0
14          	rawr3               	1           	0x7ffbd1c03ee0
14          	(                   	2           	81
14          	b                   	1           	0x7ffbd1c033b0
14          	:                   	6           	0
14          	real                	35          	0
14          	)                   	2           	82
14          	;                   	4           	86
15          	var                 	31          	0
15          	q                   	1           	0x7ffbd1c02f00
15          	:                   	6           	0
15          	integer             	34          	0
15          	;                   	4           	86
17          	q                   	1           	0x7ffbd1c02f00
17          	:=                  	3           	0
17          	b                   	1           	0x7ffbd1c033b0
17          	+                   	9           	96
17          	2.0                 	11          	0
17          	;                   	4           	86
18          	call                	43          	0
18          	fib2                	1           	0x7ffbd1c03a80
18          	(                   	2           	81
18          	q                   	1           	0x7ffbd1c02f00
18          	)                   	2           	82
19          	end                 	38          	71
19          	;                   	4           	86
20          	begin               	38          	70
21          	a                   	1           	0x7ffbd1c032d0
21          	:=                  	3           	0
21          	aasdlfjlwkjerjkwle  	99          	100
21          	-                   	9           	97
21          	1                   	10          	0
21          	;                   	4           	86
22          	b                   	1           	0x7ffbd1c033b0
22          	:=                  	3           	0
22          	0                   	10          	0
22          	;                   	4           	86
23          	sum                 	1           	0x7ffbd1c03dd0
23          	:=                  	3           	0
23          	1                   	10          	0
23          	;                   	4           	86
24          	c                   	1           	0x7ffbd1c03490
24          	:=                  	3           	0
24          	b                   	1           	0x7ffbd1c033b0
24          	;                   	4           	86
25          	while               	40          	75
25          	(                   	2           	81
25          	a                   	1           	0x7ffbd1c032d0
25          	_                   	99          	101
25          	_                   	99          	101
25          	_                   	99          	101
25          	_                   	99          	101
25          	_                   	99          	101
25          	_                   	99          	101
25          	_                   	99          	101
25          	_                   	99          	101
25          	>                   	7           	93
25          	0                   	10          	0
25          	)                   	2           	82
25          	do                  	40          	76
26          	begin               	38          	70
27          	a                   	1           	0x7ffbd1c032d0
27          	:=                  	3           	0
