Line No.    	Lexeme              	Token Type  	Attribute
1           	program             	30          	0
1           	fib                 	1           	0x7fca8dc02e10
1           	(                   	2           	81
1           	input               	1           	0x7fca8dc02e90
1           	,                   	4           	85
1           	output              	1           	0x7fca8dc02f10
1           	)                   	2           	82
1           	;                   	4           	86
2           	var                 	31          	0
2           	n                   	1           	0x7fca8dc02ff0
2           	:                   	6           	0
2           	integer             	34          	0
2           	;                   	4           	86
2           	var                 	31          	0
2           	p                   	1           	0x7fca8dc03100
2           	:                   	6           	0
2           	integer             	34          	0
2           	;                   	4           	86
3           	var                 	31          	0
3           	q                   	1           	0x7fca8dc03210
3           	:                   	6           	0
3           	real                	35          	0
3           	;                   	4           	86
4           	var                 	31          	0
4           	numsArray           	1           	0x7fca8dc03320
4           	:                   	6           	0
4           	array               	32          	0
4           	[                   	2           	83
4           	13                  	10          	0
4           	..                  	5           	0
4           	12                  	10          	0
4           	]                   	2           	84
4           	of                  	33          	0
4           	integer             	34          	0
4           	;                   	4           	86
4           	?                   	99          	101
6           	procedure           	37          	0
6           	fib                 	1           	0x7fca8dc02e10
6           	(                   	2           	81
6           	a                   	1           	0x7fca8dc03610
6           	:                   	6           	0
6           	integer             	34          	0
6           	;                   	4           	86
6           	b                   	1           	0x7fca8dc036f0
6           	:                   	6           	0
6           	real                	35          	0
6           	;                   	4           	86
6           	c                   	1           	0x7fca8dc037d0
6           	:                   	6           	0
6           	real                	35          	0
6           	)                   	2           	82
6           	;                   	4           	86
7           	begin               	38          	70
8           	if                  	39          	72
8           	a                   	1           	0x7fca8dc03610
8           	<=                  	7           	88
8           	1                   	10          	0
8           	then                	39          	73
8           	fib                 	1           	0x7fca8dc02e10
8           	:=                  	3           	0
8           	c                   	1           	0x7fca8dc037d0
9           	else                	39          	74
9           	call                	43          	0
9           	fib                 	1           	0x7fca8dc02e10
9           	(                   	2           	81
9           	a                   	1           	0x7fca8dc03610
9           	-                   	9           	97
9           	1                   	10          	0
9           	,                   	4           	85
9           	c                   	1           	0x7fca8dc037d0
9           	,                   	4           	85
9           	b                   	1           	0x7fca8dc036f0
9           	+                   	9           	96
9           	c                   	1           	0x7fca8dc037d0
9           	)                   	2           	82
10          	end                 	38          	71
10          	;                   	4           	86
12          	procedure           	37          	0
12          	fib2                	1           	0x7fca8dc03dc0
12          	(                   	2           	81
12          	a                   	1           	0x7fca8dc03610
12          	:                   	6           	0
12          	integer             	34          	0
12          	)                   	2           	82
12          	;                   	4           	86
13          	var                 	31          	0
13          	b                   	1           	0x7fca8dc036f0
13          	:                   	6           	0
13          	integer             	34          	0
13          	;                   	4           	86
13          	var                 	31          	0
13          	c                   	1           	0x7fca8dc037d0
13          	:                   	6           	0
13          	integer             	34          	0
13          	;                   	4           	86
13          	var                 	31          	0
13          	sum                 	1           	0x7fca8dc04140
13          	:                   	6           	0
13          	integer             	34          	0
13          	;                   	4           	86
14          	procedure           	37          	0
14          	rawr3               	1           	0x7fca8dc04250
14          	(                   	2           	81
14          	b                   	1           	0x7fca8dc036f0
14          	:                   	6           	0
14          	real                	35          	0
14          	)                   	2           	82
14          	;                   	4           	86
15          	var                 	31          	0
15          	q                   	1           	0x7fca8dc03210
15          	:                   	6           	0
15          	integer             	34          	0
15          	;                   	4           	86
16          	q                   	1           	0x7fca8dc03210
16          	:=                  	3           	0
16          	b                   	1           	0x7fca8dc036f0
16          	+                   	9           	96
16          	2.0                 	11          	0
16          	.                   	4           	87
16          	1                   	10          	0
16          	;                   	4           	86
17          	call                	43          	0
17          	fib2                	1           	0x7fca8dc03dc0
17          	(                   	2           	81
17          	q                   	1           	0x7fca8dc03210
17          	)                   	2           	82
18          	end                 	38          	71
18          	;                   	4           	86
19          	begin               	38          	70
20          	a                   	1           	0x7fca8dc03610
20          	:=                  	3           	0
20          	aasdlfjlwkjerjkwle  	99          	100
20          	-                   	9           	97
20          	1                   	10          	0
20          	;                   	4           	86
21          	b                   	1           	0x7fca8dc036f0
21          	:=                  	3           	0
21          	0                   	10          	0
21          	;                   	4           	86
22          	sum                 	1           	0x7fca8dc04140
22          	:=                  	3           	0
22          	1                   	10          	0
22          	;                   	4           	86
23          	claksdjfasdflkaj    	99          	100
23          	:=                  	3           	0
23          	b                   	1           	0x7fca8dc036f0
23          	;                   	4           	86
24          	while               	40          	75
24          	(                   	2           	81
24          	a                   	1           	0x7fca8dc03610
24          	_                   	99          	101
24          	>                   	7           	93
24          	0                   	10          	0
24          	)                   	2           	82
24          	do                  	40          	76
25          	begin               	38          	70
26          	a                   	1           	0x7fca8dc03610
26          	:=                  	3           	0
26          	a                   	1           	0x7fca8dc03610
26          	-                   	9           	97
26          	1                   	10          	0
26          	;                   	4           	86
27          	b                   	1           	0x7fca8dc036f0
27          	:=                  	3           	0
27          	sum                 	1           	0x7fca8dc04140
27          	;                   	4           	86
28          	sum                 	1           	0x7fca8dc04140
28          	:=                  	3           	0
28          	c                   	1           	0x7fca8dc037d0
28          	+                   	9           	96
28          	sum                 	1           	0x7fca8dc04140
28          	;                   	4           	86
29          	c                   	1           	0x7fca8dc037d0
29          	:=                  	3           	0
29          	b                   	1           	0x7fca8dc036f0
30          	end                 	38          	71
30          	;                   	4           	86
31          	fib2                	1           	0x7fca8dc03dc0
31          	:=                  	3           	0
31          	sum                 	1           	0x7fca8dc04140
32          	end                 	38          	71
32          	;                   	4           	86
34          	procedure           	37          	0
34          	init                	1           	0x7fca8dc051f0
34          	;                   	4           	86
35          	begin               	38          	70
36          	n                   	1           	0x7fca8dc02ff0
36          	:=                  	3           	0
36          	12                  	10          	0
36          	;                   	4           	86
37          	if                  	39          	72
37          	(                   	2           	81
37          	123.4               	11          	0
37          	.                   	4           	87
37          	5                   	10          	0
37          	and                 	8           	80
37          	2                   	10          	0
